city,people_served,state,url,utility_name,zip
Davenport,300,IA,https://www.ewg.org/tapwater/system.php?pws=IA2300638,Royal Pines Village,52037
Sabula,576,IA,https://www.ewg.org/tapwater/system.php?pws=IA4975014,Sabula Water Supply,52037
Springbrook,144,IA,https://www.ewg.org/tapwater/system.php?pws=IA4984086,Springbrook Water Department,52037
Calamus,165,IA,https://www.ewg.org/tapwater/system.php?pws=IA2391001,Welton Water Supply,52037
Wheatland,764,IA,https://www.ewg.org/tapwater/system.php?pws=IA2394017,Wheatland City Water Supply,52037
Dewitt,150,IA,https://www.ewg.org/tapwater/system.php?pws=IA2300607,Winding Brook Mobile Home Park,52037
Bryn Mawr,747460,PA,https://www.ewg.org/tapwater/system.php?pws=PA1460073,Aqua Pennsylvania Main System,19131
East Lansing,1,MI,https://www.ewg.org/tapwater/system.php?pws=MI0001995,East Lansing Meridian Water Authority,48808
Laramie,70,WY,https://www.ewg.org/tapwater/system.php?pws=WY5601457,Antelope Ridge H.o.a.,82083
Baggs,435,WY,https://www.ewg.org/tapwater/system.php?pws=WY5600058,"Baggs, Town Of",82083
Laramie,100,WY,https://www.ewg.org/tapwater/system.php?pws=WY5601232,Centennial Water and Sewer,82083
Laramie,28000,WY,https://www.ewg.org/tapwater/system.php?pws=WY5600029,City of Laramie,82083
Laramie,375,WY,https://www.ewg.org/tapwater/system.php?pws=WY5600162,Country Meadow Estates,82083
Baggs,92,WY,https://www.ewg.org/tapwater/system.php?pws=WY5600059,"Dixon, Town Of",82083
Elk Mountain,191,WY,https://www.ewg.org/tapwater/system.php?pws=WY5600065,"Elk Mountain, Town Of",82083
Encampment,450,WY,https://www.ewg.org/tapwater/system.php?pws=WY5600060,"Encampment, Town Of",82083
Hanna,841,WY,https://www.ewg.org/tapwater/system.php?pws=WY5600025,"Hanna, Town Of",82083
Medicine Bow,282,WY,https://www.ewg.org/tapwater/system.php?pws=WY5600034,"Medicine Bow, Town Of",82083
Laramie,201,WY,https://www.ewg.org/tapwater/system.php?pws=WY5601533,Nine-mile Water & Sewer District,82083
Rawlins,9749,WY,https://www.ewg.org/tapwater/system.php?pws=WY5600045,"Rawlins Water Supply, City Of",82083
Rock River,245,WY,https://www.ewg.org/tapwater/system.php?pws=WY5600048,"Rock River, Town Of",82083
Saratoga,1760,WY,https://www.ewg.org/tapwater/system.php?pws=WY5600061,"Saratoga, Town Of",82083
Laramie,90,WY,https://www.ewg.org/tapwater/system.php?pws=WY5601004,Seven Mile Water & Sewer District,82083
Encampment,180,WY,https://www.ewg.org/tapwater/system.php?pws=WY5601332,Sierra Madre Jpb,82083
Sinclair,433,WY,https://www.ewg.org/tapwater/system.php?pws=WY5600054,"Sinclair, Town Of",82083
Laramie,492,WY,https://www.ewg.org/tapwater/system.php?pws=WY5601393,South Laramie W&s District,82083
Laramie,485,WY,https://www.ewg.org/tapwater/system.php?pws=WY5601289,Sunny Meadows Village,82083
Laramie,775,WY,https://www.ewg.org/tapwater/system.php?pws=WY5600208,Wyoming Technical Institute,82083
Concord,44000,NH,https://www.ewg.org/tapwater/system.php?pws=NH0501010,Concord Water Department,03263
Franklin,7000,NH,https://www.ewg.org/tapwater/system.php?pws=NH0851010,Franklin Water Works,03263
Pembroke,5200,NH,https://www.ewg.org/tapwater/system.php?pws=NH1861010,Pembroke Water Works,03263
Merrimack,3700,NH,https://www.ewg.org/tapwater/system.php?pws=NH0251010,Penacook Boscawen Water Pct,03263
Hooksett,3500,NH,https://www.ewg.org/tapwater/system.php?pws=NH1181010,Central Hooksett Water Pct,03263
New London,2750,NH,https://www.ewg.org/tapwater/system.php?pws=NH1721010,New London Springfield Water,03263
Hooksett,2730,NH,https://www.ewg.org/tapwater/system.php?pws=NH1181020,Hooksett Village Water Pct,03263
Henniker,2500,NH,https://www.ewg.org/tapwater/system.php?pws=NH1121010,Cogswell Springs Water Works,03263
Tilton,2500,NH,https://www.ewg.org/tapwater/system.php?pws=NH2351010,Tilton Northfield Water District,03263
Contoocook,1600,NH,https://www.ewg.org/tapwater/system.php?pws=NH1191010,Contoocook Village Pct,03263
Gordon,25,WI,https://www.ewg.org/tapwater/system.php?pws=WI8160142,Gordon Correctional Center,54854
