id,condition,input_zip,output_lat,output_lon
516,grouped,58267,45.05539481111111,-85.2132865462963
516,grouped,58278,45.05539481111111,-85.2132865462963
516,grouped,56723,32.96803109361702,-80.52219323404255
516,grouped,58201,35.40150644285714,-97.53377575357143
516,grouped,58228,45.05539481111111,-85.2132865462963
517,grouped,40052,40.08470863164557,-76.5903678493671
517,grouped,40037,40.08470863164557,-76.5903678493671
517,grouped,40049,34.98059466111111,-111.97962236111113
517,grouped,42724,34.98059466111111,-111.97962236111113
517,grouped,40051,40.08470863164557,-76.5903678493671
517,grouped,42702,42.20972471007752,-71.09767844496123
517,grouped,40061,42.20972471007752,-71.09767844496123
517,grouped,42701,33.477657515000004,-111.98440946333334
517,grouped,40069,40.08470863164557,-76.5903678493671
517,grouped,40107,40.08470863164557,-76.5903678493671
518,grouped,60935,34.98059466111111,-111.97962236111113
518,grouped,60474,32.96803109361702,-80.52219323404255
518,grouped,60914,47.16840602352941,-120.31805777941177
518,grouped,60407,35.572861282608706,-83.84001994347827
518,grouped,60444,32.96803109361702,-80.52219323404255
518,grouped,60940,47.62468858548387,-117.0784646032258
518,grouped,60950,47.62468858548387,-117.0784646032258
518,grouped,60408,35.572861282608706,-83.84001994347827
518,grouped,60481,47.62468858548387,-117.0784646032258
518,grouped,60416,35.572861282608706,-83.84001994347827
519,grouped,77623,34.98059466111111,-111.97962236111113
519,grouped,77514,34.98059466111111,-111.97962236111113
519,grouped,77655,33.897530485365856,-86.76118119268294
519,grouped,77661,34.98059466111111,-111.97962236111113
519,grouped,77665,38.224460747169815,-78.81912353396227
519,grouped,77597,34.98059466111111,-111.97962236111113
519,grouped,70631,30.499809642105266,-84.9313431368421
519,grouped,77622,34.98059466111111,-111.97962236111113
519,grouped,77560,34.98059466111111,-111.97962236111113
519,grouped,77640,42.51821412818182,-83.27356483545455
520,grouped,47232,40.08470863164557,-76.5903678493671
520,grouped,47236,42.20972471007752,-71.09767844496123
520,grouped,47201,35.40150644285714,-97.53377575357143
520,grouped,47402,42.20972471007752,-71.09767844496123
520,grouped,47407,42.20972471007752,-71.09767844496123
520,grouped,47405,45.52115864918033,-122.59859982786888
520,grouped,47283,40.08470863164557,-76.5903678493671
520,grouped,47406,45.52115864918033,-122.59859982786888
520,grouped,47448,45.52115864918033,-122.59859982786888
520,grouped,47202,42.20972471007752,-71.09767844496123
521,grouped,60420,40.74537158125,-111.795244734375
521,grouped,60901,35.40150644285714,-97.53377575357143
521,grouped,60961,32.96803109361702,-80.52219323404255
