name,city,street
The Bakers' Brewery,Silverthorne,531 Silverthorne Ln
The Brew On Broadway (The BoB),Englewood,3445 S Broadway
The Sandlot Brewery At Coors Field,Denver,2145 Blake St
Thirsty Monk Pub Brewery,Denver,1604 E 17th Ave
Three Four Beer Company,Fort Collins,829 S Shields St
Church Owl Beer,Stratford,
Vision Quest Brewing Company,Boulder,2510 47th St Ste A2
Westbound and Down,Denver,
Westminster Brewing Co,Westminster,7655 W 108th Ave Ste 600
World's End Brewpub,Grand Lake,
Zwei Brewing Co,Fort Collins,4612 S Mason St Ste 120
Uturn BBQ,Lafayette,599 Crossing Dr
